# era_map.tsv — v4 — NORM DECISION 2026-07-14: target = 2009 imla standard (Milletler Til-Yeziq Komiteti lughiti)
# Direction: contemporary web-raised ىيى forms -> 2009-standard ىيە forms (variant<TAB>standard)
# Built label-free: direction derived from characters, arbitrated per-word against imla_dict_2009.md
# (163 dict-confirmed, 1082 class-rule default, 5 dict exceptions mapped toward ى)
# v4.1: ـىيەت-possessive class fixed — alternation followed by ت+vowel raises (جەمئىيىتى، مۇۋەپپەقىيىتى per dict)
ئېكىسپېدىتسىيىچىلىرى	ئېكىسپېدىتسىيەچىلىرى
لېكسىكولوگىيىسىنىڭ	لېكسىكولوگىيەسىنىڭ
نەزەرىيىچىلىرىنىڭ	نەزەرىيەچىلىرىنىڭ
ئىتالىيىلىكلەرنىڭ	ئىتالىيەلىكلەرنىڭ
تەربىيىلىنىۋاتقان	تەربىيەلىنىۋاتقان
تېررىتورىيىسىدىكى	تېررىتورىيەسىدىكى
دېسسېرتاتسىيىسىنى	دېسسېرتاتسىيەسىنى
ئىسرائىلىيىلىكلەر	ئىسرائىلىيەلىكلەر
ئېكسپىلاتاتسىيىگە	ئېكسپىلاتاتسىيەگە
ئېكسپىلاتاتسىيىسى	ئېكسپىلاتاتسىيەسى
لېكسىكولوگىيىدىكى	لېكسىكولوگىيەدىكى
شۋېتسىيىلىكلەرنىڭ	شۋېتسىيەلىكلەرنىڭ
تەربىيىلەنگەنلىكى	تەربىيەلەنگەنلىكى
فىرانسىيىلىكلەرنى	فىرانسىيەلىكلەرنى
مەدھىيىلىنىۋاتقان	مەدھىيەلىنىۋاتقان
دېموكراتىيىلىشىشى	دېموكراتىيەلىشىشى
كومپارتىيىلىرىدىن	كومپارتىيەلىرىدىن
ياپونىيىلىكلەرنىڭ	ياپونىيەلىكلەرنىڭ
ئوپېراتسىيىلىرىدە	ئوپېراتسىيەلىرىدە
لېكسىكولوگىيىسىنى	لېكسىكولوگىيەسىنى
ئاسسىمىلياتسىيىگە	ئاسسىمىلياتسىيەگە
كوسمولوگىيىسىدىكى	كوسمولوگىيەسىدىكى
دىسسېرتاتسىيىسىنى	دىسسېرتاتسىيەسىنى
كاتېگورىيىلىرىنىڭ	كاتېگورىيەلىرىنىڭ
ئىدىئولوگىيىسىنىڭ	ئىدىئولوگىيەسىنىڭ
فىرازىيولوگىيىلىك	فىرازىيولوگىيەلىك
ئەنگىلىيىلىكلەرگە	ئەنگىلىيەلىكلەرگە
دېكلاماتسىيىچىنىڭ	دېكلاماتسىيەچىنىڭ
ئىدېئولوگىيىسىنىڭ	ئىدېئولوگىيەسىنىڭ
ئەنگىلىيىلىكلەرمۇ	ئەنگىلىيەلىكلەرمۇ
ئىدېئولوگىيىلەرگە	ئىدېئولوگىيەلەرگە
ئېنسىكلوپېدىيىلىك	ئېنسىكلوپېدىيەلىك
ئىستراتېگىيىسىنىڭ	ئىستراتېگىيەسىنىڭ
ئەنگلىيىلىكلەرنىڭ	ئەنگلىيەلىكلەرنىڭ
ئوپېراتسىيىلىرىنى	ئوپېراتسىيەلىرىنى
ئانتروپولوگىيىلىك	ئانتروپولوگىيەلىك
فېدېراتسىيىسىنىڭ	فېدېراتسىيەسىنىڭ
ئېتىمولوگىيىسىدە	ئېتىمولوگىيەسىدە
لابوراتورىيىسىدە	لابوراتورىيەسىدە
ئەنگلىيىلىكلەرگە	ئەنگلىيەلىكلەرگە
پسىخولوگىيىسىنىڭ	پسىخولوگىيەسىنىڭ
چېخسىلوۋاكىيىنىڭ	چېخسىلوۋاكىيەنىڭ
گېئومېتىرىيىدىكى	گېئومېتىرىيەدىكى
تېررىتورىيىسىدىن	تېررىتورىيەسىدىن
دېموكراتىيىسىنىڭ	دېموكراتىيەسىنىڭ
تېررىتورىيىسىنىڭ	تېررىتورىيەسىنىڭ
ئىدېئولوگىيىسىگە	ئىدېئولوگىيەسىگە
دىپلوماتىيىسىنىڭ	دىپلوماتىيەسىنىڭ
تۈركىيىلىكلەرنىڭ	تۈركىيەلىكلەرنىڭ
كومپارتىيىسىدىكى	كومپارتىيەسىدىكى
ئىستراتېگىيىسىگە	ئىستراتېگىيەسىگە
ئاكادېمىيىسىدىكى	ئاكادېمىيەسىدىكى
ئارخېئولوگىيىلىك	ئارخېئولوگىيەلىك
تەربىيىلىنىدىغان	تەربىيەلىنىدىغان
ئىدېئولوگىيىدىكى	ئىدېئولوگىيەدىكى
ئىدىيىدىكىلەرنىڭ	ئىدىيەدىكىلەرنىڭ
دېموكراتىيىلىشىش	دېموكراتىيەلىشىش
ئوپېراتسىيىسىدىن	ئوپېراتسىيەسىدىن
سۇبىستانسىيىسىنى	سۇبىستانسىيەسىنى
تېلېۋىزىيىلىرىدە	تېلېۋىزىيەلىرىدە
نەزەرىيىچىلىرىگە	نەزەرىيەچىلىرىگە
تىراگېدىيىلىرىگە	تىراگېدىيەلىرىگە
ئىستراتېگىيىچىسى	ئىستراتېگىيەچىسى
كاتېگورىيىسىدىكى	كاتېگورىيەسىدىكى
ئىستراتېگىيىسىدە	ئىستراتېگىيەسىدە
ئاپتونومىيىسىنىڭ	ئاپتونومىيەسىنىڭ
ئىستراتېگىيىسىنى	ئىستراتېگىيەسىنى
لېكسىكولوگىيىلىك	لېكسىكولوگىيەلىك
ئىمپېرىيىلىرىنىڭ	ئىمپېرىيەلىرىنىڭ
چېخوسلوۋاكىيىنىڭ	چېخوسلوۋاكىيەنىڭ
ئېتىمولوگىيىسىنى	ئېتىمولوگىيەسىنى
لابوراتورىيىدىكى	لابوراتورىيەدىكى
فورماتسىيىلەرنىڭ	فورماتسىيەلەرنىڭ
نەزەرىيىلىرىدىكى	نەزەرىيەلىرىدىكى
كومپانىيىلىرىنىڭ	كومپانىيەلىرىنىڭ
چېخسلوۋاكىيىدىكى	چېخسلوۋاكىيەدىكى
ئاپتونومىيىسىدىن	ئاپتونومىيەسىدىن
بۇرژۇئازىيىسىنىڭ	بۇرژۇئازىيەسىنىڭ
لابوراتورىيىسىگە	لابوراتورىيەسىگە
پارتىيىسىدىكىلەر	پارتىيەسىدىكىلەر
لېكسىكولوگىيىنىڭ	لېكسىكولوگىيەنىڭ
كاتېگورىيىلەرنىڭ	كاتېگورىيەلەرنىڭ
ئىسرائىلىيىنىڭمۇ	ئىسرائىلىيەنىڭمۇ
پىسخولوگىيىسىنىڭ	پىسخولوگىيەسىنىڭ
گوللاندىيىلىكلەر	گوللاندىيەلىكلەر
ئېنسىكلوپېدىيىسى	ئېنسىكلوپېدىيەسى
ئەنگلىيىلىكلەرنى	ئەنگلىيەلىكلەرنى
ئېكولوگىيىسىدىكى	ئېكولوگىيەسىدىكى
ئوپېراتسىيىسىنىڭ	ئوپېراتسىيەسىنىڭ
ئىدېئولوگىيىسىنى	ئىدېئولوگىيەسىنى
تىراگېدىيىلەرنىڭ	تىراگېدىيەلەرنىڭ
تېرىتورىيىسىدىكى	تېرىتورىيەسىدىكى
ئىدېئولوگىيىسىدە	ئىدېئولوگىيەسىدە
مۇۋەپپەقىيەتىنىڭ	مۇۋەپپەقىيىتىنىڭ
سېربىيىلىكلەرگە	سېربىيەلىكلەرگە
جۇغراپىيىسىدىكى	جۇغراپىيەسىدىكى
چېخسلوۋاكىيىدىن	چېخسلوۋاكىيەدىن
دىپلوماتىيىسىنى	دىپلوماتىيەسىنى
گېئومېتىرىيىلىك	گېئومېتىرىيەلىك
چېخوسلوۋاكىيىگە	چېخوسلوۋاكىيەگە
كوسمولوگىيىدىكى	كوسمولوگىيەدىكى
ئەرمىنىيىلىكلەر	ئەرمىنىيەلىكلەر
پوزىتسىيىلىرىنى	پوزىتسىيەلىرىنى
فۇنكسىيىلىرىنىڭ	فۇنكسىيەلىرىنىڭ
ئىدېئولوگىيىلىك	ئىدېئولوگىيەلىك
يۇگوسلاۋىيىدىكى	يۇگوسلاۋىيەدىكى
ئاپتونومىيىسىنى	ئاپتونومىيەسىنى
سىتراتېگىيىسىنى	سىتراتېگىيەسىنى
ئىدېئولوگىيىلەر	ئىدېئولوگىيەلەر
ئېتىمولوگىيىلىك	ئېتىمولوگىيەلىك
سېربىيىلىكلەرنى	سېربىيەلىكلەرنى
لېكسىكولوگىيىسى	لېكسىكولوگىيەسى
پوزىتسىيىمىزنىڭ	پوزىتسىيەمىزنىڭ
ئىستراتېگىيىلىك	ئىستراتېگىيەلىك
پوزىتسىيىسىدىكى	پوزىتسىيەسىدىكى
تەربىيىلىنىشىنى	تەربىيەلىنىشىنى
تەربىيىلەۋاتىدۇ	تەربىيەلەۋاتىدۇ
چېخسلوۋاكىيىنىڭ	چېخسلوۋاكىيەنىڭ
تىراگېدىيىسىنىڭ	تىراگېدىيەسىنىڭ
ئارمىيىنىڭكىدىن	ئارمىيەنىڭكىدىن
تراگېدىيىلەرنىڭ	تراگېدىيەلەرنىڭ
تېررىتورىيىسىدە	تېررىتورىيەسىدە
تېررىتورىيىدىكى	تېررىتورىيەدىكى
دېموكراتىيىسىگە	دېموكراتىيەسىگە
نەزەرىيىچىسىنىڭ	نەزەرىيەچىسىنىڭ
پىسخولوگىيىدىكى	پىسخولوگىيەدىكى
مونوپولىيىسىدىن	مونوپولىيەسىدىن
دىسسېرتاتسىيىسى	دىسسېرتاتسىيەسى
تەربىيىلەيدىغان	تەربىيەلەيدىغان
تەربىيىلەۋاتقان	تەربىيەلەۋاتقان
كاتېگورىيىلەرگە	كاتېگورىيەلەرگە
دىپلوماتىيىسىگە	دىپلوماتىيەسىگە
دېموكراتىيىسىنى	دېموكراتىيەسىنى
ئوپېراتسىيىسىدە	ئوپېراتسىيەسىدە
دىپلوماتىيىدىكى	دىپلوماتىيەدىكى
ئوپېراتسىيىسىنى	ئوپېراتسىيەسىنى
فىزىيولوگىيىلىك	فىزىيولوگىيەلىك
مەدھىيىلەيدىغان	مەدھىيەلەيدىغان
ئارخېئولوگىيىسى	ئارخېئولوگىيەسى
تېلېۋىزىيىلەردە	تېلېۋىزىيەلەردە
كومپوزىتسىيىنىڭ	كومپوزىتسىيەنىڭ
ئىسپانىيىلىكلەر	ئىسپانىيەلىكلەر
تېررىتورىيىلىرى	تېررىتورىيەلىرى
سۈرىيىلىكلەرنىڭ	سۈرىيەلىكلەرنىڭ
ئىدېئولوگىيىنىڭ	ئىدېئولوگىيەنىڭ
سۇبىستانسىيىلەر	سۇبىستانسىيەلەر
گىرېتسىيىلىكلەر	گىرېتسىيەلىكلەر
پائالىيىتلىرىدە	پائالىيەتلىرىدە
ترانسكرىپسىيىسى	ترانسكرىپسىيەسى
ئوپىراتسىيىسىگە	ئوپىراتسىيەسىگە
نەزەرىيىلىرىنىڭ	نەزەرىيەلىرىنىڭ
كومپانىيىلىرىگە	كومپانىيەلىرىگە
تەربىيىلىنىشنىڭ	تەربىيەلىنىشنىڭ
ئىدىئولوگىيىنىڭ	ئىدىئولوگىيەنىڭ
كومپارتىيىسىنىڭ	كومپارتىيەسىنىڭ
تېررىتورىيىسىگە	تېررىتورىيەسىگە
ئىدىئولوگىيىلىك	ئىدىئولوگىيەلىك
ئىستراتېگىيىنىڭ	ئىستراتېگىيەنىڭ
ئىمپېرىيىسىدىكى	ئىمپېرىيەسىدىكى
ئىدىيىلىرىمىزگە	ئىدىيەلىرىمىزگە
ئاكادېمىيىسىنىڭ	ئاكادېمىيەسىنىڭ
رادىئاتسىيىسىگە	رادىئاتسىيەسىگە
نەزەرىيىلىرىدىن	نەزەرىيەلىرىدىن
ئىسرائىلىيىدىكى	ئىسرائىلىيەدىكى
نەزەرىيىچىلەرنى	نەزەرىيەچىلەرنى
ئىنتوناتسىيىنىڭ	ئىنتوناتسىيەنىڭ
فىرانسىيىلىكلەر	فىرانسىيەلىكلەر
كاتېگورىيىسىدىن	كاتېگورىيەسىدىن
لابوراتورىيىنىڭ	لابوراتورىيەنىڭ
پوزىتسىيىسىگىمۇ	پوزىتسىيەسىگىمۇ
ھىندونېزىيىدىكى	ھىندونېزىيەدىكى
چېخسلوۋاكىيىلىك	چېخسلوۋاكىيەلىك
ئاسترونومىيىلىك	ئاسترونومىيەلىك
جۇغراپىيىشۇناسى	جۇغراپىيەشۇناسى
تراگېدىيىلىرىگە	تراگېدىيەلىرىگە
ئېكسپېدىتسىيىچى	ئېكسپېدىتسىيەچى
لابوراتورىيىدىن	لابوراتورىيەدىن
تەربىيىلەنمىگەن	تەربىيەلەنمىگەن
ئىسپانىيىسىدىكى	ئىسپانىيەسىدىكى
گېرمانىيىلىكلەر	گېرمانىيەلىكلەر
ياپونىيىدىكىدەك	ياپونىيەدىكىدەك
تېررىتورىيىسىنى	تېررىتورىيەسىنى
لېكسىكولوگىيىنى	لېكسىكولوگىيەنى
ئىمپېرىيىلەرنىڭ	ئىمپېرىيەلەرنىڭ
لېكسىكولوگىيىدە	لېكسىكولوگىيەدە
كاتېگورىيىسىنىڭ	كاتېگورىيەسىنىڭ
ئوپېراتسىيىلىرى	ئوپېراتسىيەلىرى
ئىدىئولوگىيىلەر	ئىدىئولوگىيەلەر
كاتېگورىيىلەرنى	كاتېگورىيەلەرنى
ئىستراتېگىيىدىن	ئىستراتېگىيەدىن
فىزىئولوگىيىلىك	فىزىئولوگىيەلىك
ئېتنوگرافىيىلىك	ئېتنوگرافىيەلىك
پوزىتسىيىلەرنىڭ	پوزىتسىيەلەرنىڭ
رۇسىيىلىكلەرنىڭ	رۇسىيەلىكلەرنىڭ
تەربىيىلىنىشىگە	تەربىيەلىنىشىگە
مېتودولوگىيىلىك	مېتودولوگىيەلىك
نەزەرىيىلىرىدە	نەزەرىيەلىرىدە
گېرمانىيىسىنىڭ	گېرمانىيەسىنىڭ
ئېفىئوپىيىدىكى	ئېفىئوپىيەدىكى
پوزىتسىيىسىدىن	پوزىتسىيەسىدىن
تىراگېدىيىسىنى	تىراگېدىيەسىنى
فېدېراتسىيىدىن	فېدېراتسىيەدىن
دېموكراتىيىنىڭ	دېموكراتىيەنىڭ
دېكلاماتسىيىچى	دېكلاماتسىيەچى
فرانسىيىلىكلەر	فرانسىيەلىكلەر
تېخنولوگىيىنىڭ	تېخنولوگىيەنىڭ
ئوپېراتسىيىنىڭ	ئوپېراتسىيەنىڭ
ئىسرائىلىيىدەك	ئىسرائىلىيەدەك
كاتېگورىيىسىگە	كاتېگورىيەسىگە
پىسخولوگىيىلىك	پىسخولوگىيەلىك
دىپلوماتىيىلىك	دىپلوماتىيەلىك
تۈركولوگىيىنىڭ	تۈركولوگىيەنىڭ
ساناتورىيىسىگە	ساناتورىيەسىگە
ئارمىيىلىرىنىڭ	ئارمىيەلىرىنىڭ
بۇرژۇئازىيىنىڭ	بۇرژۇئازىيەنىڭ
ھوللاندىيىدىكى	ھوللاندىيەدىكى
ئىئوردانىيىنىڭ	ئىئوردانىيەنىڭ
ئاۋسترالىيىنىڭ	ئاۋسترالىيەنىڭ
گېئومېترىيىلىك	گېئومېترىيەلىك
تېررىتورىيىلەر	تېررىتورىيەلەر
تېررىتورىيىنىڭ	تېررىتورىيەنىڭ
كاتېگورىيىلىرى	كاتېگورىيەلىرى
تەربىيىلىنىشكە	تەربىيەلىنىشكە
ئاكادېمىيىسىدە	ئاكادېمىيەسىدە
ئەنگلىيىلىكلەر	ئەنگلىيەلىكلەر
ئىنتوناتسىيىسى	ئىنتوناتسىيەسى
چېخسلوۋاكىيىنى	چېخسلوۋاكىيەنى
مورفولوگىيىلىك	مورفولوگىيەلىك
ناھىيىلەردىنمۇ	ناھىيەلەردىنمۇ
كاتېگورىيىدىكى	كاتېگورىيەدىكى
ياپونىيىلىكلەر	ياپونىيەلىكلەر
كومپارتىيىسىدە	كومپارتىيەسىدە
نەزەرىيىلىرىنى	نەزەرىيەلىرىنى
پوزىتسىيىسىنىڭ	پوزىتسىيەسىنىڭ
ئىمپېرىيىسىنىڭ	ئىمپېرىيەسىنىڭ
تېلېۋىزىيىسىدە	تېلېۋىزىيەسىدە
تېخنولوگىيىلىك	تېخنولوگىيەلىك
ساناتورىيىسىدە	ساناتورىيەسىدە
جۇغراپىيىسىنىڭ	جۇغراپىيەسىنىڭ
لابوراتورىيىدە	لابوراتورىيەدە
سۇبستانسىيىلەر	سۇبستانسىيەلەر
كومپارتىيىلىرى	كومپارتىيەلىرى
كومپوزىتسىيىسى	كومپوزىتسىيەسى
پىسخولوگىيىنىڭ	پىسخولوگىيەنىڭ
جۇغراپىيىشۇناس	جۇغراپىيەشۇناس
ئىستراتېگىيىنى	ئىستراتېگىيەنى
چېخسلوۋاكىيىدە	چېخسلوۋاكىيەدە
يۇگۇسلاۋىيىنىڭ	يۇگۇسلاۋىيەنىڭ
ئاناتولىيىدىكى	ئاناتولىيەدىكى
ئاكادېمىيىسىگە	ئاكادېمىيەسىگە
نەزەرىيىسىدىكى	نەزەرىيەسىدىكى
پورتىگالىيىنىڭ	پورتىگالىيەنىڭ
تەربىيىلىنىشنى	تەربىيەلىنىشنى
مېتودولوگىيىسى	مېتودولوگىيەسى
دېموكراتىيىدىن	دېموكراتىيەدىن
پوزىتسىيىمىزنى	پوزىتسىيەمىزنى
تېررىتورىيىلىك	تېررىتورىيەلىك
كاتېگورىيىسىنى	كاتېگورىيەسىنى
ئانتولوگىيىلىك	ئانتولوگىيەلىك
بۇرجۇئازىيىنىڭ	بۇرجۇئازىيەنىڭ
ئاپتونومىيىلىك	ئاپتونومىيەلىك
يۇگوسلاۋىيىنىڭ	يۇگوسلاۋىيەنىڭ
نەزەرىيىچىلىرى	نەزەرىيەچىلىرى
ئېتنولوگىيىلىك	ئېتنولوگىيەلىك
پوزىتسىيىلەرنى	پوزىتسىيەلەرنى
تەربىيىلىمەكچى	تەربىيەلىمەكچى
كومپارتىيىسىگە	كومپارتىيەسىگە
ئاۋسترالىيىلىك	ئاۋسترالىيەلىك
ئاسترونومىيىنى	ئاسترونومىيەنى
ئوپېراتسىيىلەر	ئوپېراتسىيەلەر
ئىمپېرىيىسىدىن	ئىمپېرىيەسىدىن
ناھىيىلىرىدىمۇ	ناھىيەلىرىدىمۇ
ئىرېلاندىيىلىك	ئىرېلاندىيەلىك
ئىتالىيىلىكلەر	ئىتالىيەلىكلەر
پارتىيىلىرىنىڭ	پارتىيەلىرىنىڭ
ئىنتوناتسىيىدە	ئىنتوناتسىيەدە
ئېكولوگىيىسىنى	ئېكولوگىيەسىنى
ئېتنوگرافىيىسى	ئېتنوگرافىيەسى
تەربىيىلەشتىكى	تەربىيەلەشتىكى
ئىدېئولوگىيىگە	ئىدېئولوگىيەگە
ئېنېرگىيىسىدىن	ئېنېرگىيەسىدىن
فىزىئولوگىيىسى	فىزىئولوگىيەسى
ھىندونېزىيىنىڭ	ھىندونېزىيەنىڭ
پوزىتسىيىلەرگە	پوزىتسىيەلەرگە
پوزىتسىيىسىدۇر	پوزىتسىيەسىدۇر
ئوپېراتسىيىدىن	ئوپېراتسىيەدىن
تەربىيىلەشكىمۇ	تەربىيەلەشكىمۇ
گېرمانىيىسىدىن	گېرمانىيەسىدىن
ئىمپېرىيىسىدەك	ئىمپېرىيەسىدەك
ئاۋسترالىيىدىن	ئاۋسترالىيەدىن
گېرمانىيىلەرگە	گېرمانىيەلەرگە
فۇنكسىيىلەرنىڭ	فۇنكسىيەلەرنىڭ
ئىستراتېگىيىگە	ئىستراتېگىيەگە
لابوراتورىيىگە	لابوراتورىيەگە
دىپلوماتىيىنىڭ	دىپلوماتىيەنىڭ
كومپارتىيىسىنى	كومپارتىيەسىنى
تراگېدىيىسىنىڭ	تراگېدىيەسىنىڭ
ئىستراتېگىيىسى	ئىستراتېگىيەسى
ئاسترونومىيىگە	ئاسترونومىيەگە
كومپارتىيىسىمۇ	كومپارتىيەسىمۇ
ئىسرائىلىيىنىڭ	ئىسرائىلىيەنىڭ
ئىستراتىگىيىسى	ئىستراتىگىيەسى
پارتىيىڭلارنىڭ	پارتىيەڭلارنىڭ
كاتېگورىيىسىدە	كاتېگورىيەسىدە
ئېتىمولوگىيىسى	ئېتىمولوگىيەسى
نەزەرىيىلىرىگە	نەزەرىيەلىرىگە
ئىسرائىلىيىلىك	ئىسرائىلىيەلىك
پسىخولوگىيىلىك	پسىخولوگىيەلىك
تىراگېدىيىلىرى	تىراگېدىيەلىرى
ئىسرائىلىيىدىن	ئىسرائىلىيەدىن
شۋېتسىيىلىكلەر	شۋېتسىيەلىكلەر
ئىستراتېگىيىدە	ئىستراتېگىيەدە
ئىمپىرىيىسىنىڭ	ئىمپىرىيەسىنىڭ
ئىدېئولوگىيىنى	ئىدېئولوگىيەنى
ئاپتونومىيىنىڭ	ئاپتونومىيەنىڭ
ئېمپېرىيىسىنىڭ	ئېمپېرىيەسىنىڭ
پوزىتىسىيىسىدە	پوزىتىسىيەسىدە
ئاسترولوگىيىگە	ئاسترولوگىيەگە
سۇبىستانسىيىنى	سۇبىستانسىيەنى
دېپلوماتىيىلىك	دېپلوماتىيەلىك
فۇنكسىيىلىرىنى	فۇنكسىيەلىرىنى
بىئوگرافىيىلىك	بىئوگرافىيەلىك
نەزەرىيىلەرنىڭ	نەزەرىيەلەرنىڭ
سۇبىستانسىيىگە	سۇبىستانسىيەگە
فۇنكسىيىسىدىكى	فۇنكسىيەسىدىكى
ئىدېئولوگىيىسى	ئىدېئولوگىيەسى
ئىدىئولوگىيىسى	ئىدىئولوگىيەسى
ئونتولوگىيىلىك	ئونتولوگىيەلىك
نەزەرىيىلەردىن	نەزەرىيەلەردىن
ئىدىئولوگىيىگە	ئىدىئولوگىيەگە
تۈركىيىلىكلەر	تۈركىيەلىكلەر
لېكسىيىلىرىنى	لېكسىيەلىرىنى
گېرمانىيىگىچە	گېرمانىيەگىچە
دېموكراتىيىسى	دېموكراتىيەسى
پوزىتسىيىسىمۇ	پوزىتسىيەسىمۇ
ياپونىيىلەردە	ياپونىيەلەردە
گىمنازىيىسىگە	گىمنازىيەسىگە
ئاناتومىيىلىك	ئاناتومىيەلىك
تەربىيىلەشتىن	تەربىيەلەشتىن
ئارمىيىسىدىكى	ئارمىيەسىدىكى
پسىخولوگىيىدە	پسىخولوگىيەدە
تۈركولوگىيىگە	تۈركولوگىيەگە
ئىسرائىلىيىمۇ	ئىسرائىلىيەمۇ
لىنىيىلىرىنىڭ	لىنىيەلىرىنىڭ
پارتىيىۋازلىق	پارتىيەۋازلىق
تېررىتورىيىگە	تېررىتورىيەگە
پوزىتسىيىسىگە	پوزىتسىيەسىگە
تېخنولوگىيىسى	تېخنولوگىيەسى
تەربىيىلىشىگە	تەربىيەلىشىگە
ئاۋسترالىيىدە	ئاۋسترالىيەدە
تېررىتورىيىدە	تېررىتورىيەدە
تەۋسىيىلىرىنى	تەۋسىيەلىرىنى
كاتېگورىيىلىك	كاتېگورىيەلىك
رادىئاتسىيىسى	رادىئاتسىيەسى
فېدېراتسىيىسى	فېدېراتسىيەسى
ماكىدونىيىلىك	ماكىدونىيەلىك
ئىدىيىلىرىدىن	ئىدىيەلىرىدىن
تەربىيىلەنگەن	تەربىيەلەنگەن
دىسسېرتاتسىيى	دىسسېرتاتسىيە
كومپانىيىلىرى	كومپانىيەلىرى
تەربىيىلىگۈچى	تەربىيەلىگۈچى
ئاۋسترالىيىگە	ئاۋسترالىيەگە
بىيوگرافىيىسى	بىيوگرافىيەسى
دىپلوماتىيىنى	دىپلوماتىيەنى
ئوپېراتسىيىگە	ئوپېراتسىيەگە
بىيولوگىيىلىك	بىيولوگىيەلىك
پوزىتسىيىسىنى	پوزىتسىيەسىنى
تەربىيىلەشتۇر	تەربىيەلەشتۇر
پىسخولوگىيىسى	پىسخولوگىيەسى
جۇغراپىيىسىنى	جۇغراپىيەسىنى
مەدھىيىلىشىدە	مەدھىيەلىشىدە
جۇغراپىيىسىدە	جۇغراپىيەسىدە
تەربىيىلىشىنى	تەربىيەلىشىنى
يۇگۇسلاۋىيىدە	يۇگۇسلاۋىيەدە
تەربىيىلىنىدۇ	تەربىيەلىنىدۇ
گېرمانىيىسىگە	گېرمانىيەسىگە
مېلودىيىسىمان	مېلودىيەسىمان
قاپىيىداشلىقى	قاپىيەداشلىقى
نەزەرىيىسىنىڭ	نەزەرىيەسىنىڭ
ئالجىرىيىدىكى	ئالجىرىيەدىكى
سەۋىيىسىدىنمۇ	سەۋىيەسىدىنمۇ
تەربىيىسىنىمۇ	تەربىيەسىنىمۇ
تەربىيىچىلىرى	تەربىيەچىلىرى
بۇرژۇئازىيىسى	بۇرژۇئازىيەسى
ياپونىيىلىكتە	ياپونىيەلىكتە
ماكېدونىيىلىك	ماكېدونىيەلىك
تەربىيىسىدىكى	تەربىيەسىدىكى
تەنتەربىيىنىڭ	تەنتەربىيەنىڭ
تىراگېدىيىلىك	تىراگېدىيەلىك
ئاپتونومىيىسى	ئاپتونومىيەسى
دېموكراتىيىگە	دېموكراتىيەگە
ئىسرائىلىيىنى	ئىسرائىلىيەنى
بېرىتانىيىنىڭ	بېرىتانىيەنىڭ
ئونتولوگىيىسى	ئونتولوگىيەسى
نەزەرىيىسىدىن	نەزەرىيەسىدىن
ھىندونېزىيىدە	ھىندونېزىيەدە
فۇنكسىيىسىنىڭ	فۇنكسىيەسىنىڭ
گېئولوگىيىلىك	گېئولوگىيەلىك
شىۋىتسارىيىدە	شىۋىتسارىيەدە
دىپلوماتىيىگە	دىپلوماتىيەگە
تىراگېدىيىنىڭ	تىراگېدىيەنىڭ
ئىدىيىلىرىنىڭ	ئىدىيەلىرىنىڭ
مەدھىيىلىرىنى	مەدھىيەلىرىنى
تەنتەربىيىدىن	تەنتەربىيەدىن
ئىمپېرىيىسىگە	ئىمپېرىيەسىگە
ئىمپېرىيىلىرى	ئىمپېرىيەلىرى
سېربىيىلىكلەر	سېربىيەلىكلەر
ناھىيىلەردىكى	ناھىيەلەردىكى
ئامبۇلاتورىيى	ئامبۇلاتورىيە
شوتلاندىيىلىك	شوتلاندىيەلىك
